Name,Number,Date,Lawrence M Farnese Jr.,Christine M. Tartaglione,Shirley M. Kitchen,LeAnna M. Washington,Michael J. Stack III,Robert M. Tomlinson,Vincent J. Hughes,Anthony H. Williams,Dominic F. Pileggi,Charles T McIlhinney Jr.,Michael A. O'Pake,Stewart J. Greenleaf Sr,Lloyd K Smucker,Raphael John Musto,Jeffrey E. Piccola,Patrick M. Browne,Daylin Leach,Lisa M. Boscola,Andrew E Dinniman,Lisa Baker,Mary Jo White,Robert J. Mellow,Gene Yaw,Bob Mensch,Robert C Wonderling,Joseph B. Scarnati III,Edwin B Erickson,John R. Gordner,Michael L Waugh,David G. Argall,John H Eichelberger Jr.,Patricia H Vance,Richard A Kasunic,Richard L. Alloway II,Jake Corman,John N Wozniak,Michael W Brubaker,John R. Pippy,James Ferlo,Kim L. Ward,Jane Clare Orie,Donald C. White,Wayne D. Fontana,Jay Costa,John C. Rafferty Jr.,Sean F. Logan,J. Barry Stout,Elder A. Vogel,Michael J Folmer,Jane M Earll,Robert D. Robbins
District,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Party,,,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Democrat,Democrat,Republican,Republican,Democrat,Republican,Republican,Democrat,Republican,Republican,Democrat,Democrat,Democrat,Republican,Republican,Democrat,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Democrat,Republican,Republican,Democrat,Republican,Republican,Democrat,Republican,Republican,Republican,Democrat,Democrat,Republican,Democrat,Democrat,Republican,Republican,Republican,Republican
QUORUM  YEA=PRESENT,1,2009-01-06,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y
APPROVAL OF THE PREVIOUS DAYS JOURNAL,3,2009-01-26,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JANUARY 20, 2009",4,2009-01-27,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
RECESS RESOLUTION,5,2009-02-02,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECUTIVE NOMINATIONS (ATTACHED),7,2009-02-03,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JANUARY 21 AND 26, 2009",6,2009-02-03,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JANUARY 27 AND 28, 2009",8,2009-02-04,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
RECESS RESOLUTION,9,2009-02-09,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
